
40.0,65.0,27.0,32.0,5.0,24.0,0.72,24.0,1.0
33.0,31.0,22.0,27.0,4.0,28.0,0.82,10.0,1.0
35.0,40.0,24.0,34.0,4.0,36.0,0.81,14.0,1.0
66.0,163.0,47.0,64.0,5.0,47.0,1.1,3.0,2.0
54.0,145.0,37.0,50.0,4.0,36.0,1.15,4.0,2.0
27.0,30.0,17.0,25.0,4.0,32.0,1.0,9.0,1.0
64.0,145.0,45.0,65.0,4.0,43.0,1.18,4.0,2.0
37.0,74.0,23.0,33.0,4.0,32.0,1.2,8.0,1.0
40.0,88.0,27.0,40.0,5.0,40.0,1.25,13.0,1.0
78.0,217.0,56.0,85.0,6.0,55.0,1.48,8.0,2.0
117.0,244.0,87.0,123.0,6.0,74.0,1.7,9.0,3.0
70.0,150.0,50.0,68.0,5.0,50.0,1.5,8.0,2.0
71.0,129.0,51.0,72.0,6.0,56.0,1.47,13.0,2.0
76.0,134.0,55.0,77.0,6.0,59.0,1.4,22.0,2.0
75.0,179.0,53.0,76.0,6.0,52.0,1.43,20.0,2.0
35.0,33.0,22.0,33.0,5.0,30.0,1.24,26.0,1.0
42.0,53.0,27.0,39.0,5.0,37.0,1.25,62.0,1.0
51.0,63.0,34.0,52.0,4.0,53.0,1.18,34.0,2.0
91.0,196.0,66.0,112.0,9.0,82.0,1.36,35.0,2.0
93.0,247.0,68.0,104.0,7.0,65.0,1.37,26.0,2.0
45.0,59.0,30.0,44.0,5.0,27.0,1.0,60.0,1.0
91.0,212.0,66.0,84.0,7.0,37.0,1.07,73.0,2.0
68.0,109.0,48.0,71.0,6.0,60.0,0.92,58.0,2.0
87.0,165.0,64.0,96.0,9.0,80.0,1.09,57.0,2.0
117.0,268.0,87.0,119.0,7.0,101.0,1.17,62.0,3.0
64.0,144.0,44.0,66.0,8.0,46.0,0.86,77.0,2.0
81.0,197.0,59.0,80.0,7.0,53.0,0.94,84.0,2.0
87.0,211.0,64.0,91.0,6.0,64.0,0.97,62.0,2.0
83.0,184.0,57.0,83.0,6.0,75.0,1.05,61.0,2.0
59.0,115.0,34.0,51.0,5.0,51.0,0.77,64.0,2.0
47.0,127.0,25.0,41.0,4.0,43.0,0.78,54.0,1.0
32.0,9.0,18.0,26.0,3.0,22.0,1.07,60.0,1.0
45.0,47.0,30.0,44.0,4.0,38.0,1.01,58.0,1.0
47.0,58.0,26.0,45.0,3.0,34.0,0.77,57.0,1.0
50.0,69.0,34.0,48.0,3.0,30.0,0.8,53.0,1.0
52.0,44.0,36.0,48.0,4.0,15.0,0.79,70.0,2.0
47.0,85.0,29.0,42.0,3.0,13.0,0.73,62.0,1.0
32.0,29.0,18.0,28.0,3.0,15.0,0.62,50.0,1.0
32.0,57.0,18.0,30.0,3.0,17.0,0.62,55.0,1.0
34.0,71.0,21.0,33.0,3.0,19.0,0.76,39.0,1.0
26.0,38.0,13.0,25.0,3.0,20.0,0.92,8.0,1.0
15.0,7.0,7.0,13.0,3.0,17.0,0.76,16.0,1.0
33.0,49.0,21.0,31.0,4.0,29.0,0.79,31.0,1.0
55.0,185.0,36.0,58.0,5.0,54.0,1.01,29.0,2.0
44.0,122.0,26.0,42.0,4.0,45.0,0.78,39.0,1.0
44.0,136.0,27.0,43.0,4.0,44.0,0.79,26.0,1.0
40.0,107.0,24.0,40.0,4.0,39.0,0.79,38.0,1.0
50.0,171.0,32.0,49.0,4.0,32.0,1.17,9.0,1.0
29.0,61.0,15.0,24.0,4.0,36.0,1.0,11.0,1.0
34.0,55.0,21.0,35.0,5.0,42.0,1.1,13.0,1.0
43.0,74.0,24.0,45.0,4.0,33.0,0.97,19.0,1.0
32.0,59.0,18.0,30.0,4.0,34.0,0.69,15.0,1.0
23.0,13.0,14.0,21.0,4.0,26.0,1.06,28.0,1.0
